seqCrct,seqRT,pushed,crctKey,tt,is_switch,is_probe,sequence,subj,block,sttime,trial.type,response.type,trial,is.switch
-1,Inf,0,2,2,0,NA,112,BL,4,727998.5799,intf,noresp,94,0
-1,Inf,0,3,3,1,NA,3,BL,4,727998.5799,cngr,noresp,95,1
1,0.508242,2,2,3,0,NA,20,BL,4,727998.5799,cngr,correct,96,0
1,0.588115,1,1,3,0,NA,100,BL,4,727998.5799,cngr,correct,97,0
1,0.386662,1,1,3,0,NA,100,BL,4,727998.5799,cngr,correct,98,0
1,0.44153,3,3,3,0,NA,3,BL,4,727998.5799,cngr,correct,99,0
1,0.469158,1,1,3,0,NA,100,BL,4,727998.5799,cngr,correct,100,0
1,0.562965,3,3,3,0,NA,3,BL,4,727998.5799,cngr,correct,101,0
1,0.45428,1,1,3,0,NA,100,BL,4,727998.5799,cngr,correct,102,0
1,0.429262,1,1,3,0,NA,100,BL,4,727998.5799,cngr,correct,103,0
1,0.421278,2,2,3,0,NA,20,BL,4,727998.5799,cngr,correct,104,0
1,0.430195,1,1,1,1,0,100,BL,4,727998.5799,nbk,correct,105,1
1,0.422708,1,1,1,0,0,100,BL,4,727998.5799,nbk,correct,106,0
-1,Inf,0,2,1,0,1,XXX,BL,4,727998.5799,nbk,noresp,107,0
1,0.937416,1,1,1,0,1,XXX,BL,4,727998.5799,nbk,correct,108,0
1,0.593441,3,3,1,0,0,3,BL,4,727998.5799,nbk,correct,109,0
1,0.967269,2,2,2,1,NA,233,BL,4,727998.5799,intf,correct,110,1
1,0.509668,2,2,2,0,NA,233,BL,4,727998.5799,intf,correct,111,0
0,0.889055,1,2,2,0,NA,112,BL,4,727998.5799,intf,wrong,112,0
0,0.934437,2,1,2,0,NA,313,BL,4,727998.5799,intf,wrong,113,0
1,0.834642,1,1,2,0,NA,313,BL,4,727998.5799,intf,correct,114,0
1,0.893769,3,3,2,0,NA,322,BL,4,727998.5799,intf,correct,115,0
1,0.413509,2,2,3,1,NA,20,BL,4,727998.5799,cngr,correct,116,1
1,0.376922,2,2,3,0,NA,20,BL,4,727998.5799,cngr,correct,117,0
1,0.461574,3,3,1,1,0,3,BL,4,727998.5799,nbk,correct,118,1
1,0.47369,1,1,1,0,0,100,BL,4,727998.5799,nbk,correct,119,0
1,0.605692,3,3,1,0,0,3,BL,4,727998.5799,nbk,correct,120,0
1,0.384128,3,3,1,0,0,3,BL,4,729345.5788,nbk,correct,1,0
1,0.776916,3,3,2,1,NA,322,BL,4,729345.5788,intf,correct,2,1
1,0.648461,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,3,0
1,0.620099,1,1,2,0,NA,313,BL,4,729345.5788,intf,correct,4,0
1,0.603143,1,1,2,0,NA,313,BL,4,729345.5788,intf,correct,5,0
1,0.673656,2,2,2,0,NA,112,BL,4,729345.5788,intf,correct,6,0
-1,Inf,0,3,2,0,NA,322,BL,4,729345.5788,intf,noresp,7,0
1,0.762207,2,2,2,0,NA,233,BL,4,729345.5788,intf,correct,8,0
1,0.637117,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,9,0
1,0.734246,2,2,2,0,NA,112,BL,4,729345.5788,intf,correct,10,0
1,0.874438,1,1,2,0,NA,313,BL,4,729345.5788,intf,correct,11,0
1,0.343486,1,1,3,1,NA,100,BL,4,729345.5788,cngr,correct,12,1
1,0.508706,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,13,0
1,0.491991,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,14,0
1,0.435091,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,15,0
1,0.482839,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,16,0
1,0.336798,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,17,0
1,0.797012,3,3,2,1,NA,131,BL,4,729345.5788,intf,correct,18,1
0,0.721425,2,3,2,0,NA,322,BL,4,729345.5788,intf,wrong,19,0
1,0.744198,3,3,2,0,NA,322,BL,4,729345.5788,intf,correct,20,0
0,0.738115,1,2,2,0,NA,112,BL,4,729345.5788,intf,wrong,21,0
1,0.794229,3,3,2,0,NA,131,BL,4,729345.5788,intf,correct,22,0
1,0.595978,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,23,0
1,0.694957,1,1,2,0,NA,313,BL,4,729345.5788,intf,correct,24,0
1,0.646324,3,3,3,1,NA,3,BL,4,729345.5788,cngr,correct,25,1
-1,Inf,0,2,2,1,NA,233,BL,4,729345.5788,intf,noresp,26,1
1,0.776987,3,3,3,1,NA,3,BL,4,729345.5788,cngr,correct,27,1
1,0.743801,1,1,2,1,NA,313,BL,4,729345.5788,intf,correct,28,1
1,0.505279,3,3,3,1,NA,3,BL,4,729345.5788,cngr,correct,29,1
1,0.529858,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,30,0
1,0.40101,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,31,0
1,0.375049,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,32,0
1,0.488923,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,33,0
1,0.494907,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,34,0
1,0.408508,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,35,0
1,0.434247,1,1,1,1,0,100,BL,4,729345.5788,nbk,correct,36,1
1,0.438778,1,1,1,0,0,100,BL,4,729345.5788,nbk,correct,37,0
1,0.592563,3,3,1,0,0,3,BL,4,729345.5788,nbk,correct,38,0
1,0.599397,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,39,0
1,0.921542,2,2,2,1,NA,112,BL,4,729345.5788,intf,correct,40,1
1,0.626058,1,1,2,0,NA,313,BL,4,729345.5788,intf,correct,41,0
1,0.736105,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,42,0
1,0.648952,3,3,2,0,NA,322,BL,4,729345.5788,intf,correct,43,0
1,0.727307,2,2,2,0,NA,233,BL,4,729345.5788,intf,correct,44,0
1,0.616401,3,3,2,0,NA,322,BL,4,729345.5788,intf,correct,45,0
1,0.685492,1,1,1,1,0,100,BL,4,729345.5788,nbk,correct,46,1
1,0.674953,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,47,0
0,0.815549,1,3,2,1,NA,131,BL,4,729345.5788,intf,wrong,48,1
1,0.725265,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,49,0
1,0.759468,2,2,2,0,NA,233,BL,4,729345.5788,intf,correct,50,0
1,0.806933,3,3,2,0,NA,131,BL,4,729345.5788,intf,correct,51,0
1,0.931245,3,3,2,0,NA,322,BL,4,729345.5788,intf,correct,52,0
1,0.602851,1,1,2,0,NA,221,BL,4,729345.5788,intf,correct,53,0
1,0.527491,1,1,1,1,0,100,BL,4,729345.5788,nbk,correct,54,1
1,0.5147,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,55,0
1,0.548232,2,2,3,1,NA,20,BL,4,729345.5788,cngr,correct,56,1
1,0.414696,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,57,0
1,0.458992,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,58,0
1,0.441286,2,2,1,1,0,20,BL,4,729345.5788,nbk,correct,59,1
1,0.4076,1,1,1,0,0,100,BL,4,729345.5788,nbk,correct,60,0
0,0.482605,2,1,1,0,1,XXX,BL,4,729345.5788,nbk,wrong,61,0
0,0.830453,1,2,1,0,1,XXX,BL,4,729345.5788,nbk,wrong,62,0
1,0.606605,3,3,1,0,0,3,BL,4,729345.5788,nbk,correct,63,0
1,0.468319,2,2,3,1,NA,20,BL,4,729345.5788,cngr,correct,64,1
1,0.483511,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,65,0
1,0.512182,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,66,0
1,0.484588,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,67,0
1,0.486801,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,68,0
1,0.452499,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,69,0
1,0.421783,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,70,0
1,0.395537,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,71,0
1,0.387225,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,72,0
1,0.448967,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,73,0
1,0.458894,3,3,1,1,0,3,BL,4,729345.5788,nbk,correct,74,1
1,0.458833,3,3,1,0,0,3,BL,4,729345.5788,nbk,correct,75,0
1,0.514959,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,76,0
1,0.444685,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,77,0
1,0.554767,2,2,1,0,0,20,BL,4,729345.5788,nbk,correct,78,0
1,0.538611,2,2,1,0,1,XXX,BL,4,729345.5788,nbk,correct,79,0
1,0.401044,2,2,3,1,NA,20,BL,4,729345.5788,cngr,correct,80,1
1,0.418699,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,81,0
1,0.451404,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,82,0
1,0.492642,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,83,0
1,0.490393,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,84,0
1,0.390325,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,85,0
1,0.491301,2,2,3,0,NA,20,BL,4,729345.5788,cngr,correct,86,0
1,0.430968,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,87,0
1,0.949922,3,3,3,0,NA,3,BL,4,729345.5788,cngr,correct,88,0
1,0.587927,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,89,0
1,0.962839,1,1,2,1,NA,221,BL,4,729345.5788,intf,correct,90,1
1,0.750837,2,2,2,0,NA,112,BL,4,729345.5788,intf,correct,91,0
1,0.881694,2,2,2,0,NA,233,BL,4,729345.5788,intf,correct,92,0
1,0.654306,2,2,2,0,NA,233,BL,4,729345.5788,intf,correct,93,0
0,0.595855,1,2,2,0,NA,112,BL,4,729345.5788,intf,wrong,94,0
1,0.545102,2,2,1,1,0,20,BL,4,729345.5788,nbk,correct,95,1
1,0.755569,3,3,1,0,0,3,BL,4,729345.5788,nbk,correct,96,0
1,0.515055,2,2,3,1,NA,20,BL,4,729345.5788,cngr,correct,97,1
1,0.527984,1,1,3,0,NA,100,BL,4,729345.5788,cngr,correct,98,0
